EquipmentCode,DocumentCategory,DocumentSubCategory,HeaderDescription,TrueFalseIndicator,Comments,Sequence
PEM-EQ-FINISH-012,HEADER,,Description of Work:,,,1
PEM-EQ-FINISH-012,HEADER,,,,Using an Planer (Electric),2
PEM-EQ-FINISH-012,HAZARD_SUMMARY,,Potential Hazards:,,,1
PEM-EQ-FINISH-012,HAZARD_SUMMARY,,,,"Mechanical and electrical hazard with the potential to cause harm through impact and cutting, and exposure to sharp objects.",2
PEM-EQ-FINISH-012,PPE,,Personal Protective Equipment (PPE) Required (Check the box for required PPE),,,1
PEM-EQ-FINISH-012,PPE,,,FALSE,Gloves,2
PEM-EQ-FINISH-012,PPE,,,FALSE,Face Masks,3
PEM-EQ-FINISH-012,PPE,,,TRUE,Eye Protection,4
PEM-EQ-FINISH-012,PPE,,,FALSE,Welding Mask,5
PEM-EQ-FINISH-012,PPE,,,TRUE,Appropriate Footwear,6
PEM-EQ-FINISH-012,PPE,,,FALSE,Hearing Protection,7
PEM-EQ-FINISH-012,PPE,,,TRUE,Protective Clothing,8
PEM-EQ-FINISH-012,SWP,,Safe Work Procedure Checklist:,,,1
PEM-EQ-FINISH-012,PROCEDURE,PRE,PRE-Operation/Task:,,,1
PEM-EQ-FINISH-012,PROCEDURE,PRE,,,"Task (e.g. Drawings, instructions, specifications etc.) is clearly understood.",2
PEM-EQ-FINISH-012,PROCEDURE,PRE,,,Ensure the piece of timber is well supported.,3
PEM-EQ-FINISH-012,PROCEDURE,PRE,,,Ensure correct height to be planed is set.,4
PEM-EQ-FINISH-012,PROCEDURE,PRE,,,Ensure all guarding is in place.,5
PEM-EQ-FINISH-012,PROCEDURE,PRE,,,Check that timber is in good condition and free from foreign materials (such as nails).,6
PEM-EQ-FINISH-012,PROCEDURE,PRE,,,Identify ON/OFF switch.,7
PEM-EQ-FINISH-012,PROCEDURE,OPERATION,Operation/Task:,,,1
PEM-EQ-FINISH-012,PROCEDURE,OPERATION,,,"When planing the timber, ensure it done the grain of the wood.",2
PEM-EQ-FINISH-012,PROCEDURE,OPERATION,,,Keep hands clear of work piece and away from blade.,3
PEM-EQ-FINISH-012,PROCEDURE,POST,POST-Operation/Task:,,,1
PEM-EQ-FINISH-012,PROCEDURE,POST,,,Carefully dispose of waste material.,2
