EquipmentCode,DocumentCategory,DocumentSubCategory,Comments,TrueFalseIndicator,RiskAssessmentConsequence,RiskAssessmentLikelihood,RiskAssessmentLevel,RiskDescription,ControlMeasures,Sequence
PEM-EQ-FINISH-011,Hazard Management Details – General - School Information,,,,,,,,,1
PEM-EQ-FINISH-011,Hazard Management Details – General - School Information,Plant/Equipment Item:,Planer (Electric),,,,,,,2
PEM-EQ-FINISH-011,Hazard Management Details – General - School Information,Make/Model No.:,,,,,,,,3
PEM-EQ-FINISH-011,Hazard Management Details – General - School Information,Serial No.:,,,,,,,,4
PEM-EQ-FINISH-011,Hazard Management Details – General - School Information,School / Work Location:,,,,,,,,5
PEM-EQ-FINISH-011,Hazard Management Details – General - School Information,Region:,,,,,,,,6
PEM-EQ-FINISH-011,Hazard Management Details – General - School Information,Name of Person(s) Conducting Activity:,,,,,,,,7
PEM-EQ-FINISH-011,Hazard Management Details – General - School Information,Date Conducted:,,,,,,,,8
PEM-EQ-FINISH-011,Hazard Management Details – General - Description of Use,Description of Use:,,,,,,,,1
PEM-EQ-FINISH-011,Hazard Management Details – General - Description of Use,Description of Use:,An electric planer is a specialised woodworking tool used to smooth or shape wood.,,,,,,,2
PEM-EQ-FINISH-011,Hazard Management Details – General - Key Risks,Summary of Key Risks:,,,,,,,,1
PEM-EQ-FINISH-011,Hazard Management Details – General - Key Risks,Summary of Key Risks:,Impact and cutting,,,,,,,2
PEM-EQ-FINISH-011,Hazard Management Details – General - Key Risks,Summary of Key Risks:,Electricity,,,,,,,3
PEM-EQ-FINISH-011,Hazard Management Details – General - Key Risks,Summary of Key Risks:,Noise,,,,,,,4
PEM-EQ-FINISH-011,Hazard Management Details – General - Key Risks,Summary of Key Risks:,Vibration,,,,,,,5
PEM-EQ-FINISH-011,Hazard Management Details – General - Key Risks,Summary of Key Risks:,Slips/trips/falls,,,,,,,6
PEM-EQ-FINISH-011,Documentation - Legislation Standards,Relevant Legislation/Standards,,,,,,,,1
PEM-EQ-FINISH-011,Documentation - Legislation Standards,Is plant required to be registered?,,FALSE,,,,,,2
PEM-EQ-FINISH-011,Documentation - Legislation Standards,Is a user license required?,,FALSE,,,,,,3
PEM-EQ-FINISH-011,Documentation - Legislation Standards,Key Reference material,AS 1473 Guarding and safe use of woodworking machinery,,,,,,,4
PEM-EQ-FINISH-011,Documentation - Legislation Standards,Key Reference material,AS/NZS 3760 In service safety inspection and testing of electrical equipment,,,,,,,5
PEM-EQ-FINISH-011,Documentation - Legislation Standards,Key Reference material,AS/NZS 60745 Hand-held motor-operated electric tools – Safety – General requirements,,,,,,,6
PEM-EQ-FINISH-011,Documentation - Plant,Plant Documentation,,,,,,,,1
PEM-EQ-FINISH-011,Documentation - Plant,Are operator’s manuals accessible?,,TRUE,,,,,,2
PEM-EQ-FINISH-011,Documentation - Plant,Is this a restricted use item?,,FALSE,,,,,,3
PEM-EQ-FINISH-011,Documentation - Plant,Does this item require safe use documents/test?,,FALSE,,,,,,4
PEM-EQ-FINISH-011,Hazards Inspected - Entanglement,Entanglement,,,,,,,,1
PEM-EQ-FINISH-011,Hazards Inspected - Entanglement,Entanglement,"Can anyone’s hair, clothing, gloves, cleaning brushes, tools, rags or other materials become entangled with moving parts of the plant or materials?",FALSE,,,,,,2
PEM-EQ-FINISH-011,Hazards Inspected - Impact and Cutting Injuries,Impact and Cutting Injuries,,,,,,,,1
PEM-EQ-FINISH-011,Hazards Inspected - Impact and Cutting Injuries,Impact and Cutting Injuries,Can anyone be crushed/cut/struck etc. due to:,,,,,The exposed blade on the underside of the planer presents a cutting hazard.,Ensure operator’s hands and body parts are kept clear of the cutting blade.,2
PEM-EQ-FINISH-011,Hazards Inspected - Impact and Cutting Injuries,Impact and Cutting Injuries,Material falling off the plant?,FALSE,,,,,,3
PEM-EQ-FINISH-011,Hazards Inspected - Impact and Cutting Injuries,Impact and Cutting Injuries,Uncontrolled/unexpected movement of plant/load?,TRUE,Minor,Possible,Medium,,,4
PEM-EQ-FINISH-011,Hazards Inspected - Impact and Cutting Injuries,Impact and Cutting Injuries,"Lack of capacity to slow, stop or immobilise plant?",FALSE,,,,,,5
