DocumentID,DocumentTitle,LastUpdated,SectionID,SectionSlug,HeaderLevel,HeaderText,BodyText,ParentSectionID,Keywords,URLs
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-001,plant-and-equipment-management,1,Plant and Equipment Management,Policy last updated - 4 October 2024,,,
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-002,policy,2,Policy,,plant-equipment-mgmt-001,,
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-003,policy-para-1,4,Policy para 1,"In limited circumstances, schools can apply for a department-approved exemption to the plant and machinery age restriction requirements which are detailed in this policy. This exemption may be requested to allow for middle years (years 9 and 10) students to be permitted to use items classified as restricted for the purposes of curriculum or educational program delivery where reasonable and necessary. To apply for this exemption or for more information contact the OHS Advisory Service on 1300 074 715 or at safety @education.vic.gov.au <mailto:safety@education.vic.gov.au>",plant-equipment-mgmt-002,"requirement, plant, safety, machinery, student, restricted, form",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-004,policy-para-2,4,Policy para 2,"This policy is currently under review and will be undergoing a substantial restructure in 2025. Your thoughts and feedback are invaluable. To contribute to this review, please submit your feedback on this or any other OHS policies directly to the Employee Safety, Wellbeing and Inclusion Division via the OHSMS feedback form.",plant-equipment-mgmt-002,"safety, wellbeing, review, form",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-005,policy-purpose,3,Policy Purpose,,plant-equipment-mgmt-002,,
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-006,policy-para-1,4,Policy para 1,The purpose of this policy is to ensure that risks associated with plant and equipment within schools are identified and managed.,plant-equipment-mgmt-005,"risk, equipment, plant",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-007,summary,3,Summary,,plant-equipment-mgmt-002,,
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-008,summary-item-1,4,Summary item 1,"The Occupational Health and Safety (OHS) Act (2004) (Vic) <https://www.legislation.vic.gov.au/in-force/acts/occupational-health-and-safety-act-2004> and OHS Regulations 2017 (Vic) <https://www.legislation.vic.gov.au/in-force/statutory-rules/occupational-health-and-safety-regulations-2017> require the department to provide or maintain, systems of work that are, so far as is reasonably practicable, safe and without risk to health, including risks related to plant and equipment — for example, machinery, appliances, or tools Occupational Health and Safety (OHS) Act (2004)(Vic) <https://www.legislation.vic.gov.au/in-force/acts/occupational-health-and-safety-act-2004>OHS Regulations 2017(Vic) <https://www.legislation.vic.gov.au/in-force/statutory-rules/occupational-health-and-safety-regulations-2017>:",plant-equipment-mgmt-007,"risk, equipment, plant, safety, machinery",https://www.legislation.vic.gov.au/in-force/acts/occupational-health-and-safety-act-2004; https://www.legislation.vic.gov.au/in-force/statutory-rules/occupational-health-and-safety-regulations-2017; https://www.legislation.vic.gov.au/in-force/acts/occupational-health-and-safety-act-2004; https://www.legislation.vic.gov.au/in-force/statutory-rules/occupational-health-and-safety-regulations-2017
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-009,summary-item-2,4,Summary item 2,"The principal and/or their delegate (as the local management representative) must lead a systematic approach to identify, assess and control hazards associated with plant and equipment in their workplace/s using the Hierarchy of Controls.",plant-equipment-mgmt-007,"hazard, control, principal, must, equipment, plant, workplace",
plant-equipment-mgmt,Plant and Equipment Management,4-Oct-24,plant-equipment-mgmt-010,summary-item-3,4,Summary item 3,"Under the OHS Act 2004, employees while at work must take reasonable care for their own health and safety and the safety of others who may be affected by their actions or omissions.",plant-equipment-mgmt-007,"must, safety",
